Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
AMD Radeon RX 560 896SP,GPU,2017-07-04,14.0,45.0,123.0,3000.0,1090.0,GF,AMD,2106.0,2106.0,131.6
AMD Radeon HD 8350G IGP,GPU,2013-03-12,32.0,35.0,246.0,1303.0,514.0,TSMC,AMD,,184.3,
ATI Radeon X300 LE,GPU,2004-09-01,110.0,,74.0,107.0,325.0,TSMC,ATI,,,
AMD Radeon HD 8990 OEM,GPU,2013-04-24,28.0,375.0,365.0,4313.0,950.0,TSMC,AMD,,4096.0,1024.0
NVIDIA GeForce GTX 560 Ti X2,GPU,2011-01-25,40.0,170.0,332.0,1950.0,850.0,TSMC,NVIDIA,,1306.0,108.8
NVIDIA GeForce FX Go5200,GPU,2003-03-01,150.0,,91.0,45.0,200.0,TSMC,NVIDIA,,,
AMD Radeon Pro 5700,GPU,2020-08-04,7.0,130.0,251.0,10300.0,1243.0,TSMC,AMD,12440.0,6221.0,388.8
AMD Radeon HD 8550G IGP,GPU,2013-05-23,32.0,35.0,246.0,1303.0,515.0,TSMC,AMD,,337.9,
NVIDIA GeForce 810M,GPU,2015-03-21,28.0,45.0,118.0,1270.0,835.0,TSMC,NVIDIA,,729.6,30.4
AMD Radeon HD 6550A,GPU,2011-02-07,40.0,35.0,104.0,627.0,550.0,TSMC,AMD,,528.0,
AMD Radeon HD 6530,GPU,2011-05-14,40.0,39.0,104.0,627.0,650.0,TSMC,AMD,,520.0,
ATI Radeon 9800 PRO,GPU,2003-10-01,150.0,47.0,218.0,117.0,380.0,TSMC,ATI,,,
AMD FirePro W4100,GPU,2014-08-13,28.0,50.0,123.0,1500.0,630.0,TSMC,AMD,,645.1,40.32
ATI Radeon X550 HyperMemory,GPU,2005-07-01,110.0,,74.0,107.0,400.0,TSMC,ATI,,,
AMD Radeon RX Vega 11,GPU,2018-02-12,14.0,65.0,210.0,4940.0,300.0,GF,AMD,3492.0,1746.0,109.1
AMD Radeon RX 550 512SP,GPU,2017-10-13,14.0,50.0,123.0,3000.0,1019.0,GF,AMD,1097.0,1097.0,68.54
NVIDIA GeForce GTX 1080,GPU,2016-05-27,16.0,180.0,314.0,7200.0,1607.0,TSMC,NVIDIA,138.6,8873.0,277.3
AMD Radeon R9 M380,GPU,2015-05-05,28.0,,160.0,2080.0,900.0,TSMC,AMD,,1536.0,96.0
ATI Mobility Radeon HD 2400 XT Mac Edition,GPU,2007-06-28,65.0,,82.0,180.0,650.0,TSMC,ATI,,52.0,
AMD Radeon Pro WX 7100,GPU,2016-11-10,14.0,130.0,232.0,5700.0,1188.0,GF,AMD,5728.0,5728.0,358.0
NVIDIA GeForce GTX 760,GPU,2013-06-25,28.0,170.0,294.0,3540.0,980.0,TSMC,NVIDIA,,2378.0,99.07
NVIDIA GRID K160Q,GPU,2013-06-28,28.0,130.0,118.0,1270.0,850.0,TSMC,NVIDIA,,326.4,13.6
NVIDIA Tesla M2070,GPU,2011-07-25,40.0,225.0,529.0,3100.0,574.0,TSMC,NVIDIA,,1030.0,515.2
ATI Radeon E4690 PCIe,GPU,2009-06-01,55.0,30.0,146.0,514.0,600.0,TSMC,ATI,,384.0,
ATI Mobility Radeon HD 2400 XT,GPU,2007-05-14,65.0,,82.0,180.0,600.0,TSMC,ATI,,48.0,
NVIDIA GeForce GTX TITAN BLACK,GPU,2014-02-18,28.0,250.0,561.0,7080.0,889.0,TSMC,NVIDIA,,5645.0,1882.0
ATI Radeon X1950 XT AGP,GPU,2006-10-17,90.0,96.0,352.0,384.0,625.0,TSMC,ATI,,,
AMD Radeon HD 7400G IGP,GPU,2012-10-02,32.0,17.0,246.0,1303.0,327.0,TSMC,AMD,,162.8,
NVIDIA Quadro P5000,GPU,2016-10-01,16.0,180.0,314.0,7200.0,1607.0,TSMC,NVIDIA,138.6,8873.0,277.3
NVIDIA GeForce GT 740 OEM,GPU,2015-04-14,28.0,65.0,221.0,2540.0,1050.0,TSMC,NVIDIA,,806.4,33.6
ATI Radeon X600,GPU,2004-09-01,110.0,36.0,74.0,107.0,400.0,TSMC,ATI,,,
AMD Radeon Pro W5300M,GPU,2019-11-13,7.0,85.0,158.0,6400.0,1000.0,TSMC,AMD,6400.0,3200.0,200.0
ATI Radeon X800 PRO,GPU,2004-05-01,130.0,48.0,289.0,160.0,475.0,TSMC,ATI,,,
Intel Xeon Phi 3120A,GPU,2012-11-12,22.0,300.0,350.0,5000.0,1100.0,Intel,Intel,,501.6,
AMD Radeon HD 7560D IGP,GPU,2012-10-02,32.0,65.0,246.0,1303.0,760.0,TSMC,AMD,,389.1,
NVIDIA GeForce 9400M G,GPU,2008-10-15,65.0,12.0,144.0,314.0,450.0,Unknown,NVIDIA,,35.2,
ATI Radeon 9500,GPU,2003-03-01,150.0,12.0,215.0,110.0,275.0,TSMC,ATI,,,
ATI Radeon Xpress 1200 Mobile IGP,GPU,2007-02-28,90.0,,73.0,120.0,500.0,Unknown,ATI,,,
AMD Radeon R9 M265X,GPU,2014-03-21,28.0,,123.0,1500.0,575.0,TSMC,AMD,,800.0,50.0
NVIDIA GeForce GTS 450 Rev. 3,GPU,2012-07-11,40.0,106.0,238.0,1170.0,783.0,TSMC,NVIDIA,,451.0,37.58
NVIDIA Quadro FX 4000,GPU,2004-04-01,130.0,142.0,287.0,222.0,375.0,TSMC,NVIDIA,,,
AMD Radeon R7 360 896SP,GPU,2015-06-18,28.0,85.0,160.0,2080.0,1100.0,TSMC,AMD,,1971.0,123.2
NVIDIA GeForce 8800 Ultra,GPU,2007-05-02,90.0,171.0,484.0,681.0,612.0,TSMC,NVIDIA,,387.1,
Matrox M9125 PCIe x16,GPU,NaT,90.0,,,,250.0,UMC,Other,,,
AMD Radeon HD 7690M XT Rebrand,GPU,2012-01-04,40.0,25.0,104.0,716.0,725.0,TSMC,AMD,,696.0,
NVIDIA GeForce 8800 GTX,GPU,2006-11-08,90.0,155.0,484.0,681.0,576.0,TSMC,NVIDIA,,345.6,
NVIDIA GeForce 6800 GT DDL,GPU,2004-04-14,130.0,80.0,287.0,222.0,350.0,TSMC,NVIDIA,,,
ATI Radeon 9000 PRO Mac Edition,GPU,2004-03-14,150.0,28.0,97.0,36.0,275.0,TSMC,ATI,,,
Intel Iris Pro Graphics 580,GPU,2015-09-01,14.0,15.0,,,350.0,Intel,Intel,2189.0,1094.0,273.6
AMD Radeon Pro WX 4150 Mobile,GPU,2017-03-01,14.0,50.0,123.0,3000.0,1002.0,GF,AMD,1887.0,1887.0,117.9
AMD Radeon VII,GPU,2019-02-07,7.0,295.0,331.0,13230.0,1400.0,TSMC,AMD,26880.0,13440.0,3360.0
NVIDIA Quadro K1200,GPU,2015-01-28,28.0,45.0,148.0,1870.0,1058.0,TSMC,NVIDIA,,1151.0,35.97
AMD Radeon Pro V7350X2,GPU,NaT,14.0,200.0,232.0,5700.0,1188.0,GF,AMD,,5728.0,358.0
AMD Radeon R5 A335,GPU,2015-10-21,28.0,,56.0,690.0,1070.0,TSMC,AMD,,684.8,
NVIDIA GeForce2 Go 200,GPU,2001-02-06,180.0,2.0,64.0,20.0,143.0,TSMC,NVIDIA,,,
Intel Xeon Phi 5120D,GPU,2013-06-17,22.0,245.0,350.0,5000.0,1053.0,Intel,Intel,,505.4,
ATI Mobility Radeon HD 4870 X2,GPU,2009-01-09,55.0,,256.0,956.0,550.0,TSMC,ATI,,880.0,176.0
XGI Volari V5 Ultra,GPU,2003-09-15,130.0,,,90.0,350.0,UMC,Other,,,
NVIDIA GeForce 7050 SE + nForce 630a,GPU,2006-02-01,90.0,,81.0,112.0,425.0,Unknown,NVIDIA,,,
NVIDIA GeForce GT 740,GPU,2014-05-29,28.0,64.0,118.0,1270.0,993.0,TSMC,NVIDIA,,762.6,31.78
NVIDIA Quadro K5000,GPU,2012-08-17,28.0,122.0,294.0,3540.0,706.0,TSMC,NVIDIA,,2169.0,90.37
NVIDIA GeForce MX150,GPU,2017-05-17,14.0,10.0,74.0,1800.0,937.0,Samsung,NVIDIA,12.46,797.2,24.91
NVIDIA GeForce 9200M,GPU,2008-10-15,65.0,12.0,144.0,314.0,450.0,Unknown,NVIDIA,,38.4,
ATI Mobility Radeon X1900,GPU,2007-01-11,80.0,,230.0,384.0,400.0,TSMC,ATI,,,
AMD Radeon R7 360E,GPU,2015-12-30,28.0,75.0,160.0,2080.0,1050.0,TSMC,AMD,,1613.0,100.8
NVIDIA GeForce 6800 LE,GPU,2005-01-16,130.0,,225.0,222.0,325.0,TSMC,NVIDIA,,,
AMD Radeon HD 6750,GPU,2011-01-21,40.0,86.0,166.0,1040.0,700.0,TSMC,AMD,,1008.0,
AMD Radeon R5 430 OEM,GPU,2016-06-30,28.0,50.0,77.0,950.0,730.0,TSMC,AMD,,599.0,37.44
AMD Radeon R9 260 OEM,GPU,2013-12-21,28.0,85.0,160.0,2080.0,1100.0,TSMC,AMD,,1971.0,123.2
NVIDIA GeForce 930M,GPU,2015-03-13,28.0,33.0,,,928.0,TSMC,NVIDIA,,722.7,22.58
NVIDIA GeForce FX 5600 XT,GPU,2003-03-17,130.0,,121.0,80.0,235.0,TSMC,NVIDIA,,,
AMD Radeon Graphics 512SP,GPU,2020-03-07,7.0,15.0,156.0,9800.0,400.0,TSMC,AMD,3584.0,1792.0,112.0
NVIDIA Quadro K5100M,GPU,2013-07-23,28.0,100.0,294.0,3540.0,771.0,TSMC,NVIDIA,,2369.0,98.69
ATI Mobility Radeon X300 IGP,GPU,2005-01-01,110.0,,74.0,107.0,300.0,Unknown,ATI,,,
AMD Radeon Pro 580,GPU,2017-06-05,14.0,185.0,232.0,5700.0,1100.0,GF,AMD,5530.0,5530.0,345.6
NVIDIA GeForce 310 OEM,GPU,2009-11-27,40.0,31.0,57.0,260.0,589.0,TSMC,NVIDIA,,44.86,
NVIDIA GeForce 940MX,GPU,2016-06-28,28.0,23.0,148.0,1870.0,795.0,TSMC,NVIDIA,,881.7,27.55
NVIDIA RTX A6000,GPU,2020-10-05,8.0,300.0,628.0,28300.0,1455.0,Samsung,NVIDIA,40000.0,40000.0,1250.0
Intel Iris Plus Graphics G4,GPU,2019-05-29,10.0,15.0,,,300.0,Intel,Intel,1613.0,806.4,201.6
ATI Mobility Radeon X2300 HD,GPU,2007-03-01,80.0,,100.0,107.0,479.0,TSMC,ATI,,,
NVIDIA GeForce 8600 GTS Mac Edition,GPU,2007-09-21,80.0,75.0,169.0,289.0,675.0,TSMC,NVIDIA,,92.8,
NVIDIA GeForce 9500M G,GPU,2008-06-03,65.0,20.0,144.0,314.0,500.0,UMC,NVIDIA,,40.0,
ATI Radeon X800 SE,GPU,2004-10-04,130.0,,289.0,160.0,425.0,TSMC,ATI,,,
AMD FirePro M4100,GPU,2013-10-16,28.0,,77.0,950.0,670.0,TSMC,AMD,,514.6,32.16
AMD Radeon HD 7610M,GPU,2012-01-07,40.0,20.0,104.0,716.0,450.0,TSMC,AMD,,360.0,
NVIDIA GeForce Go 7400,GPU,2006-02-01,90.0,,81.0,112.0,450.0,TSMC,NVIDIA,,,
ATI Mobility Radeon X1600,GPU,2006-02-01,90.0,,150.0,157.0,450.0,TSMC,ATI,,,
ATI FirePro V8750,GPU,2008-07-28,55.0,151.0,256.0,956.0,750.0,TSMC,ATI,,1200.0,240.0
NVIDIA Tesla C2050,GPU,2011-07-25,40.0,238.0,529.0,3100.0,574.0,TSMC,NVIDIA,,1028.0,513.9
AMD Radeon HD 7350 OEM PCI,GPU,2012-01-05,40.0,19.0,59.0,292.0,650.0,TSMC,AMD,,104.0,
AMD Radeon RX 470 Mobile,GPU,2016-08-04,14.0,85.0,232.0,5700.0,926.0,GF,AMD,4399.0,4399.0,274.9
AMD Radeon HD 6770 Green Edition,GPU,2013-04-19,40.0,86.0,166.0,1040.0,700.0,TSMC,AMD,,1008.0,
NVIDIA Quadro P620 Mobile,GPU,2018-02-01,14.0,40.0,132.0,3300.0,1177.0,Samsung,NVIDIA,23.09,1478.0,46.18
NVIDIA GeForce 8800 GTS 512,GPU,2007-12-11,65.0,135.0,324.0,754.0,650.0,TSMC,NVIDIA,,416.0,
AMD Radeon HD 8510G IGP,GPU,2013-05-23,32.0,35.0,246.0,1303.0,554.0,TSMC,AMD,,425.5,
NVIDIA Quadro M3000M,GPU,2015-08-18,28.0,75.0,398.0,5200.0,1050.0,TSMC,NVIDIA,,2150.0,67.2
NVIDIA Tesla S1075,GPU,2008-06-01,55.0,800.0,470.0,1400.0,610.0,TSMC,NVIDIA,,622.1,77.76
NVIDIA GeForce FX Go5200 NPB 32M,GPU,2003-03-01,150.0,,91.0,45.0,200.0,TSMC,NVIDIA,,,
NVIDIA Quadro K5200,GPU,2014-07-22,28.0,150.0,561.0,7080.0,667.0,TSMC,NVIDIA,,3553.0,1184.0
NVIDIA GeForce 710A,GPU,2015-03-21,28.0,45.0,118.0,1270.0,810.0,TSMC,NVIDIA,,622.1,25.92
AMD Radeon E9260 PCIe,GPU,2016-09-27,14.0,80.0,123.0,3000.0,1090.0,GF,AMD,2150.0,2150.0,134.4
NVIDIA GeForce 8300,GPU,2007-04-17,80.0,40.0,127.0,210.0,500.0,Unknown,NVIDIA,,48.0,
ATI Radeon X1650 XT,GPU,2006-10-30,80.0,55.0,230.0,330.0,525.0,TSMC,ATI,,,
NVIDIA GeForce 6600 AGP,GPU,2004-08-12,110.0,,154.0,146.0,300.0,TSMC,NVIDIA,,,
NVIDIA GeForce 710A,GPU,2014-03-17,28.0,15.0,87.0,1020.0,719.0,TSMC,NVIDIA,,276.1,11.5
ATI Mobility Radeon X600,GPU,2004-06-01,130.0,,92.0,75.0,400.0,TSMC,ATI,,,
Intel UHD Graphics,GPU,2019-08-21,14.0,15.0,,,300.0,Intel,Intel,768.0,384.0,96.0
NVIDIA Quadro FX 5600 Mac Edition,GPU,2007-03-05,90.0,171.0,484.0,681.0,600.0,TSMC,NVIDIA,,368.6,
ATI Radeon X1050 AGP,GPU,2007-11-25,130.0,24.0,76.0,60.0,250.0,TSMC,ATI,,,
AMD FireStream 9170,GPU,2007-11-08,55.0,105.0,192.0,666.0,800.0,TSMC,AMD,,512.0,102.4
NVIDIA GeForce GTX 960 OEM,GPU,2015-11-26,28.0,,228.0,2940.0,1176.0,TSMC,NVIDIA,,2460.0,76.86
ATI Radeon HD 2600 XT X2,GPU,2007-07-26,65.0,,153.0,390.0,800.0,TSMC,ATI,,192.0,
NVIDIA GRID RTX T10-8,GPU,NaT,12.0,260.0,754.0,18600.0,1065.0,TSMC,NVIDIA,25710.0,12860.0,401.8
NVIDIA GeForce GTX 1050 Mobile,GPU,2017-01-03,14.0,75.0,132.0,3300.0,1354.0,Samsung,NVIDIA,29.86,1911.0,59.72
NVIDIA GeForce RTX 3080 Max-Q,GPU,2021-01-12,8.0,80.0,392.0,17400.0,780.0,Samsung,NVIDIA,15300.0,15300.0,239.0
NVIDIA GeForce GTX 1650 Max-Q,GPU,2020-04-15,12.0,50.0,200.0,4700.0,930.0,TSMC,NVIDIA,4608.0,2304.0,72.0
Intel HD Graphics 3000,GPU,2011-02-01,32.0,,149.0,624.0,350.0,Intel,Intel,,192.0,
ATI Mobility Radeon HD 2400,GPU,2007-05-14,65.0,,85.0,180.0,450.0,TSMC,ATI,,36.0,
NVIDIA GeForce GT 525M,GPU,2011-01-05,40.0,23.0,116.0,585.0,600.0,TSMC,NVIDIA,,230.4,19.2
Sony Playstation 2 GPU 90nm,GPU,2005-05-26,90.0,45.0,86.0,54.0,147.0,Sony,Other,,,
AMD Radeon HD 7660D IGP,GPU,2012-10-02,32.0,100.0,246.0,1303.0,760.0,TSMC,AMD,,583.7,
NVIDIA GeForce GT 610 PCI,GPU,2012-04-02,40.0,29.0,79.0,292.0,810.0,TSMC,NVIDIA,,155.5,12.96
ATI Radeon HD 3850 AGP,GPU,2008-01-03,55.0,75.0,192.0,666.0,668.0,TSMC,ATI,,427.5,85.5
NVIDIA GeForce GTX 750 GM206,GPU,2015-11-17,28.0,,228.0,2940.0,1087.0,TSMC,NVIDIA,,1269.0,39.65
ATI FirePro V5700,GPU,2008-08-08,55.0,56.0,146.0,514.0,700.0,TSMC,ATI,,448.0,
ATI Mobility FireGL V5725,GPU,2009-01-01,55.0,,135.0,378.0,680.0,TSMC,ATI,,163.2,
Intel Iris Pro Graphics P580,GPU,2015-09-01,14.0,15.0,,,350.0,Intel,Intel,2419.0,1210.0,302.4
Intel UHD Graphics,GPU,2021-01-01,14.0,15.0,,,300.0,Intel,Intel,460.8,230.4,57.6
NVIDIA GeForce GTX 680MX Mac Edition,GPU,2012-10-23,28.0,122.0,294.0,3540.0,719.0,TSMC,NVIDIA,,2209.0,92.03
ATI All-In-Wonder Radeon 7500 VE,GPU,2002-04-16,150.0,,83.0,60.0,260.0,TSMC,ATI,,,
NVIDIA GRID A100A,GPU,2020-05-14,7.0,400.0,826.0,54200.0,900.0,TSMC,NVIDIA,55570.0,13890.0,6947.0
NVIDIA GeForce RTX 2070 Max-Q,GPU,2019-01-29,12.0,90.0,445.0,10800.0,885.0,TSMC,NVIDIA,10920.0,5460.0,170.6
ATI Radeon HD 4350,GPU,2008-09-30,55.0,20.0,73.0,242.0,600.0,TSMC,ATI,,96.0,
3dfx Voodoo4-2 4200 PCI 16 MB,GPU,NaT,180.0,15.0,112.0,14.0,166.0,TSMC,Other,,,
AMD Radeon HD 6570 OEM,GPU,2011-02-07,40.0,44.0,118.0,716.0,650.0,TSMC,AMD,,624.0,
NVIDIA GeForce4 MX 440-SE,GPU,2002-02-06,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
AMD Radeon R7 240 OEM,GPU,2013-11-01,28.0,50.0,77.0,950.0,730.0,TSMC,AMD,,499.2,31.2
ATI FireGL V7350,GPU,2005-10-01,90.0,111.0,288.0,321.0,600.0,TSMC,ATI,,,
ATI Radeon HD 5870 Eyefinity 6,GPU,2010-03-11,40.0,228.0,334.0,2154.0,850.0,TSMC,ATI,,2720.0,544.0
NVIDIA GeForce2 MX DH Pro TV,GPU,2000-06-28,180.0,,64.0,20.0,175.0,TSMC,NVIDIA,,,
AMD FirePro D700,GPU,2014-01-18,28.0,274.0,352.0,4313.0,850.0,TSMC,AMD,,3482.0,870.4
NVIDIA GeForce 9100M G mGPU Intel,GPU,2008-07-29,65.0,12.0,144.0,314.0,450.0,Unknown,Intel,,17.6,
ATI Radeon 9600,GPU,2003-10-01,130.0,12.0,76.0,60.0,324.0,TSMC,ATI,,,
NVIDIA GeForce GTX 260M,GPU,2009-03-03,65.0,65.0,324.0,754.0,550.0,TSMC,NVIDIA,,308.0,
AMD Radeon 550X 640SP,GPU,2018-04-11,14.0,50.0,103.0,2200.0,1019.0,GF,AMD,1371.0,1371.0,85.68
AMD Radeon R9 M470,GPU,2016-05-15,28.0,,160.0,2080.0,900.0,TSMC,AMD,,1536.0,96.0
Intel Aubrey Isle,GPU,2010-05-31,45.0,300.0,684.0,2300.0,1200.0,Intel,Intel,,614.4,
ATI Radeon HD 3570,GPU,2010-07-05,55.0,30.0,67.0,181.0,796.0,TSMC,ATI,,63.68,
AMD Radeon E9174 MXM,GPU,2017-10-03,14.0,50.0,103.0,2200.0,1124.0,GF,AMD,1248.0,1248.0,78.02
NVIDIA GeForce 9700M GT,GPU,2008-07-29,65.0,45.0,144.0,314.0,625.0,UMC,NVIDIA,,99.2,
AMD Radeon RX 6600,GPU,NaT,7.0,150.0,236.0,,1489.0,TSMC,AMD,17920.0,8960.0,560.0
ATI Radeon HD 2900 XTX,GPU,NaT,80.0,240.0,420.0,720.0,743.0,TSMC,ATI,,475.5,
AMD Radeon Pro 5500 XT,GPU,2020-08-04,7.0,125.0,158.0,6400.0,1187.0,TSMC,AMD,10800.0,5398.0,337.3
AMD Radeon RX 480 Mobile,GPU,2016-08-04,14.0,100.0,232.0,5700.0,1000.0,GF,AMD,4963.0,4963.0,310.2
ATI Mobility Radeon 9600,GPU,2004-06-01,130.0,,92.0,76.0,300.0,TSMC,ATI,,,
ATI Radeon HD 5450 PCI,GPU,2010-02-04,40.0,19.0,59.0,292.0,650.0,TSMC,ATI,,104.0,
Intel UHD Graphics G7,GPU,2020-05-28,10.0,15.0,,,200.0,Intel,Intel,1024.0,512.0,128.0
NVIDIA GeForce GTX 980M,GPU,2014-10-07,28.0,,398.0,5200.0,540.0,TSMC,NVIDIA,,1659.0,51.84
ATI Radeon X850 XT Platinum,GPU,2004-12-21,130.0,67.0,297.0,160.0,540.0,TSMC,ATI,,,
NVIDIA GeForce GT 330M Mac Edition,GPU,2010-04-26,40.0,23.0,100.0,486.0,500.0,TSMC,NVIDIA,,105.6,
ATI FirePro RG220,GPU,2008-05-01,55.0,35.0,73.0,242.0,500.0,TSMC,ATI,,80.0,
NVIDIA GeForce2 MX,GPU,2000-06-28,180.0,,64.0,20.0,175.0,TSMC,NVIDIA,,,
ATI Radeon X1950 CrossFire Edition,GPU,2006-09-10,90.0,,352.0,384.0,650.0,TSMC,ATI,,,
NVIDIA TITAN V,GPU,2017-12-07,12.0,250.0,815.0,21100.0,1200.0,TSMC,NVIDIA,29800.0,14900.0,7450.0
NVIDIA GeForce GTS 150 OEM,GPU,2009-03-10,65.0,141.0,324.0,754.0,738.0,TSMC,NVIDIA,,470.0,
ATI Radeon HD 2400 XT,GPU,2007-06-28,65.0,25.0,85.0,180.0,650.0,TSMC,ATI,,52.0,
NVIDIA GeForce RTX 2070,GPU,2018-10-17,12.0,175.0,445.0,10800.0,1410.0,TSMC,NVIDIA,14930.0,7465.0,233.3
NVIDIA GeForce GTX 780 Rev. 2,GPU,2013-09-10,28.0,250.0,561.0,7080.0,863.0,TSMC,NVIDIA,,4156.0,173.2
AMD FirePro D300,GPU,2014-01-18,28.0,150.0,212.0,2800.0,850.0,TSMC,AMD,,2176.0,136.0
NVIDIA GeForce 825M,GPU,2014-01-27,28.0,33.0,87.0,1020.0,850.0,TSMC,NVIDIA,,722.7,30.11
NVIDIA P104-101,GPU,2018-01-05,16.0,,314.0,7200.0,1506.0,TSMC,NVIDIA,134.6,8617.0,269.3
NVIDIA GeForce 720A,GPU,2014-07-01,28.0,33.0,116.0,585.0,775.0,TSMC,NVIDIA,,180.1,15.01
AMD Radeon R6 M335DX,GPU,2015-12-12,28.0,,56.0,690.0,955.0,TSMC,AMD,,791.0,49.44
NVIDIA GeForce 705M,GPU,2013-09-27,28.0,15.0,116.0,585.0,738.0,TSMC,NVIDIA,,141.7,11.81
NVIDIA GeForce GTX 555 OEM,GPU,2011-05-14,40.0,150.0,332.0,1950.0,736.0,TSMC,NVIDIA,,847.9,70.66
ATI FireGL 9600 T2-64S,GPU,2003-10-01,130.0,,76.0,60.0,324.0,TSMC,ATI,,,
AMD Radeon HD 6990M,GPU,2011-07-12,40.0,100.0,212.0,1700.0,715.0,TSMC,AMD,,1602.0,
NVIDIA GeForce 7300 GT Mac Edition,GPU,2006-08-26,90.0,24.0,125.0,177.0,350.0,TSMC,NVIDIA,,,
ATI All-In-Wonder 9700 PRO,GPU,2003-01-22,150.0,,215.0,110.0,325.0,TSMC,ATI,,,
NVIDIA GeForce 210 Rev. 2,GPU,2009-10-12,40.0,31.0,57.0,260.0,520.0,TSMC,NVIDIA,,39.36,
Matrox Millennium G450 LP,GPU,NaT,180.0,,,10.0,125.0,UMC,Other,,,
AMD Radeon RX 550,GPU,2017-04-20,14.0,50.0,103.0,2200.0,1100.0,GF,AMD,1211.0,1211.0,75.71
AMD Radeon HD 8970M,GPU,2013-05-14,28.0,100.0,212.0,2800.0,850.0,TSMC,AMD,,2304.0,144.0
ATI Mobility Radeon 7500,GPU,2001-12-01,150.0,27.0,68.0,60.0,280.0,TSMC,ATI,,,
ATI Radeon DDR VIVO OEM,GPU,2001-08-14,180.0,,115.0,30.0,166.0,TSMC,ATI,,,
AMD Radeon HD 8410G IGP,GPU,2013-05-23,32.0,35.0,246.0,1303.0,450.0,TSMC,AMD,,230.4,
AMD Radeon R9 Nano,GPU,2015-08-27,28.0,175.0,596.0,8900.0,1000.0,TSMC,AMD,8192.0,8192.0,512.0
NVIDIA GeForce 8800 GS Mac Edition,GPU,2008-01-31,65.0,105.0,324.0,754.0,500.0,TSMC,NVIDIA,,160.0,
AMD Radeon RX 460 1024SP,GPU,2017-01-17,14.0,75.0,123.0,3000.0,1090.0,GF,AMD,2458.0,2458.0,153.6
NVIDIA GeForce GT 720,GPU,2014-09-29,28.0,19.0,87.0,1020.0,797.0,TSMC,NVIDIA,,306.0,12.75
NVIDIA GeForce 7200 GS,GPU,2006-01-18,90.0,,81.0,112.0,450.0,TSMC,NVIDIA,,,
AMD Radeon RX 6800 XT,GPU,2020-10-28,7.0,300.0,520.0,26800.0,1825.0,TSMC,AMD,41470.0,20740.0,1296.0
AMD Radeon HD 7470M,GPU,2012-01-07,40.0,25.0,67.0,370.0,750.0,TSMC,AMD,,256.0,
NVIDIA GeForce GT 620 OEM,GPU,2012-04-02,40.0,30.0,79.0,292.0,810.0,TSMC,NVIDIA,,155.5,12.96
ATI Radeon X1300 PRO,GPU,2005-10-01,90.0,31.0,100.0,107.0,600.0,TSMC,ATI,,,
NVIDIA GeForce2 MX PCI,GPU,2000-06-28,180.0,,64.0,20.0,175.0,TSMC,NVIDIA,,,
NVIDIA GeForce 7300 SE,GPU,2006-03-22,90.0,,81.0,112.0,450.0,TSMC,NVIDIA,,,
NVIDIA GeForce 6800 GT Dual,GPU,2004-06-08,130.0,,287.0,222.0,350.0,TSMC,NVIDIA,,,
AMD FirePro W2100,GPU,2014-08-12,28.0,26.0,77.0,950.0,630.0,TSMC,AMD,,435.2,27.2
NVIDIA Quadro4 750 XGL,GPU,2002-02-19,150.0,,142.0,63.0,275.0,TSMC,NVIDIA,,,
NVIDIA GeForce 6200 SE TurboCache,GPU,2004-12-15,110.0,,110.0,75.0,350.0,TSMC,NVIDIA,,,
AMD Radeon RX 6700 XT,GPU,2021-03-03,7.0,230.0,335.0,17200.0,2321.0,TSMC,AMD,26430.0,13210.0,825.9
NVIDIA GeForce 9500M GS,GPU,2008-02-01,80.0,20.0,169.0,289.0,475.0,TSMC,NVIDIA,,60.8,
AMD FirePro S10000,GPU,2012-11-12,28.0,375.0,352.0,4313.0,825.0,TSMC,AMD,,3405.0,851.2
NVIDIA GeForce 705A,GPU,2013-10-01,40.0,15.0,79.0,292.0,738.0,TSMC,NVIDIA,,141.7,11.81
NVIDIA GeForce Go 6250,GPU,2006-02-01,110.0,10.0,110.0,75.0,400.0,TSMC,NVIDIA,,,
NVIDIA Quadro P4200 Mobile,GPU,2018-02-21,16.0,100.0,314.0,7200.0,1227.0,TSMC,NVIDIA,118.6,7589.0,237.2
NVIDIA GeForce2 Go,GPU,2000-11-11,180.0,2.0,64.0,20.0,143.0,TSMC,NVIDIA,,,
Intel HD Graphics,GPU,2012-04-01,22.0,,94.0,392.0,650.0,Intel,Intel,,100.8,25.2
ATI FirePro V4800,GPU,2010-04-26,40.0,69.0,104.0,627.0,775.0,TSMC,ATI,,620.0,
NVIDIA GeForce GTX 280,GPU,2008-06-16,65.0,236.0,576.0,1400.0,602.0,TSMC,NVIDIA,,622.1,77.76
ATI FirePro 2450 Multi-View PCIe x1,GPU,2009-01-01,55.0,32.0,67.0,181.0,400.0,TSMC,ATI,,32.0,
NVIDIA GeForce RTX 3080 Mobile,GPU,2021-01-12,8.0,115.0,392.0,17400.0,1110.0,Samsung,NVIDIA,18980.0,18980.0,296.6
XGI Volari Duo V8 Ultra,GPU,2003-09-15,130.0,,,110.0,350.0,UMC,Other,,,
